emotion,tweet
anger,I'm not trying to get more followers. I'm trying to get MORE INTERACTION!!!!!!!!!
neutral,playing with image
love,happy momies day!
neutral,everyone should listen to Hadouken. they're fun
excited,Ian is waiting for a very important pic
love,happy mother's day to your mom
happy,Thanks. Busy as fuck is good in my book.
neutral,my grandpa was telling me how they used to cut up human bodies in med school
neutral,"I'm so sleepy now...g'night! HAPPY MOTHER'S DAY to your Mother, Mama, Ma, Mommy (whatever you call them. LoL) from Mie!"
worry,What are u doin Sheri?!
love,Happy Mother's day to my Mother. Thank you for being such an awesome mother
worry,"Thanks! Actually, when I first got my twitter, my pictures wouldn't upload either. But they upload, it just takes a"
love,Had a nice chat with an old frnd... its been a while since v talked was fun...
neutral,Ferns n petals (fnp.in) should help you accomplish that task
excited,Amazing night at the drive in
happy,thanks for finding the amusing rubiks pictures tonight. making my evening via ...
neutral,Dance this morning before getting new headshots taken. loooong but fun day ahead
happy,I have a better idea: need a couple hour of relax. bed time. Sweet dreams to everyone! love u all
excited,"True - to each his own I would let my sis do what she wanted. Work or I'd help her. Up to her, really."
happy,So what does that make a queef
happy,Happy Mother's Day http://bit.ly/LRSnG
excited,Kazim Kazim i didn't know that name )))
neutral,Loving the # dreambears on #britains got talent
happy,that is my idea of good dinner happy munchin
sad,watching little bear
sad,Waiting for the bus back from cripple creek to pick up the twizzler town seems kinda quiet tonite *rolynn719*
happy,I still have them!! Yay! Gonna eat some now
excited,Hey Nia! I used to be the PD at Hot 102.9 in Dayton. I met you in Cincinnati at the Wiz Christmas party. Hope all is well!
neutral,we don`t need no education
worry,you are super hot on your show
excited,finally gonna get sum sleep that concert was crazy!!! God Bless those ministers!!!
happy,Now I'm off to bed - HAPPY MOTHER'S DAY ALL - HAVE A GREAT ONE
love,made this for you when i got home from wango tango http://bit.ly/1UjzQ what a wonderful day.
love,I know you would be successful. And you're just starting. You would do great in the coming years. Good luck to you
love,Cant believe how lucky i am to have such an amazing boyfriend
love,What's your doggieï¿½s name? so cute... Same breed as the Obamaï¿½s
happy,Just got back from 's party! Sooo much fun! Boom boom pow~ hahaha! ooh and I just told my mom happy mother's day
happy,"Sounds lovely, hope you have a great day"
neutral,"Actually SoS won't be here, VI will be accompanied by Gliss and Make Me. The day after Brandi Carlile, busy month gigwise"
love,And on that note im going to bed happy mother's day to my mommy +&amp; all the other mom's out there love u lady
excited,Ive been passed out drunk for the passed couple of hours. Good to go now
happy,"I don't think I've ever been up this early on a Sunday in a while. Meanwhile, the #bigweekend awaits!"
happy,social was fun. Swam in the water in my boxers
neutral,man u know things get very interesting sometimes lolll....im just 2 damn good
happy,Happy anniversary to and You know whyyyy. Three years baby!!!
neutral,"i think i am a bit, in love with his creations and wit but not that physically attracted to him although he has great style"
happy,off to a date with vaahedh! -_- well...atleast its the last one
relief,That sounds like a good compromise.
excited,"#web20 .#prologue - Modern Liberalism, Misconstrued (2nd 1/2 of Bible -- &quot;Christ -- without the Crucifiction&quot; Abstraction w/o 'Skin'"
excited,haha maybe someday I will be your publicist! that's what i am going to school for
neutral,!!! Tell everyone I say hello
worry,"unfortunately I know I would like them - which is why I am avoiding them,"
excited,Yippee! Happy birthday to me
relief,"FINALLY finished studying, 7 pages of double sided notes later... off to cook tea and dessert now. Happy Mother's Day!!"
neutral,I sawn it three times
anger,now cassidy is butcking that i am bitching lol cant ever win
neutral,Playin' didgeridoo in the living room and thinking about the world going by.... lovely life #fb
neutral,Next time
happy,is thinking what song to use for the next chilled edition video!
happy,I'M FEELING GREAT!
worry,is at denny's right now with the group. prom was fun
sad,about to go to my boo's pad
love,The best thing I have ever done is carry and birth a child
relief,"http://bit.ly/5e7dr this is cool, van helden."
neutral,Is getting the hang of Twitter.
happy,"Word to all those i call mom, and there are a lot of yall.. HAPPY MOTHERS DAY i love you all!"
love,"Wishing you a very Happy Mother's Day, Carina!! Hugs...Joy"
neutral,"Don't fall to celebrity worship, though... just write what you think, do the best you can and rock on"
love,That movie made me cryHARDCORE!!!!! I loved it...
neutral,http://simoneserhan.tumblr.com new post
love,it's my fave!
neutral,DM me your email addy n i'll fwd dem 2 ya
neutral,dope background
love,"Happy Mother's Day to all the moms out there! You are all amazing, and we would be nowhere without you! Thanks for being our moms"
excited,kashtam ! wonder what would be the similey for CSK
love,"a slightly less disturbed night, after a while, which is a Good Thing. Looking forward to some quality time with my toadtastic boy"
happy,Watchin TV. HAPPY MOMS DAY.
neutral,just installed youtube downloader anyone knows how to make a trailer out of videos??
happy,enjoying lazying around eating roses chocolates x
relief,Finallyy done !! And done clean'n lay'n down time 4 bed.. goshh its 3 o'clock !! Lol nite nite twitta heads
neutral,i heard it is not illegal unless you are caught
excited,"go to vegas, but don't spend all ur money!!!!"
neutral,"Yes, by 16 minutes now."
happy,I brought a buffalo 320gb for 3800...it has the fastest transfer rate for a usb hdd...I benchmarked it at 34mb/s on my comp!!!
love,you were amazing on snl!! loved it!
worry,you'll be fine don't worry ... good luck again
love,"Pretty amazing weekend so far but its bedtime ,, I'm exhausted ! Mothers day tomorrow nighty night"
love,I loved Star Trek. It was so awesome. And the effects were brilliant! &quot;Live long and prosper.&quot; Hehe. I wanna see it again
happy,"OMG!! Hahaha! I thought you were joking about Twittering that, hahaha!! Awesome, good times were had by all"
happy,About to go to sleep. Fun
neutral,"Free for all... good nite I mean its a good nite, wateva"
excited,online! www.dujourmag.com/subscribe
neutral,What were you doing up at that time??
neutral,"working away just now, hopefully it stays nice for the afternoon and evening! possible BBQ weather!"
worry,"Happy Mother's Day to all the beautiful Moms out there. (I'm kind of a Mom, i think my little pup counts! )"
happy,"It turns out I'm really, like, sixty years old, guys. You were right!!!!! I'm off to seek my future a little later than planned!"
love,"Hey JK...Wish Evenlyn a Happy Mothers Day tomora for me..I had a Great Day, my gift will be tickets to see ya's ere in Oz"
sad,It's because we're right
excited,"Aww Thank u hun i cant believe ah i will send you when i look pc =D cuz im login from mobile.i will send you,dear friend ^"
worry,probably why he's still married to Joan perhaps?
excited,Thankies. I'll never be able to watch the movie Madagascar the same way again... hehe.
happy,&quot;Mom set the bar so high I need to learn to fly to reach it!&quot; -- now THAT's an awesome sentiment to read on Mother's Day.
neutral,Adams morgannnn for jumbo slice
love,you know you lvoe me!
happy,thanks!!
sad,Perfect way to end a totally boring day? Sleep. Goodnight
neutral,my problem is the other way around. Except I have a loop hole. Education = equivalent experience
happy,dull life was on the soundtrack of one of my favourite showss
neutral,listening to some brandy...never say never cd
happy,"Thanks for a great night, dear. Perfectly completed my weekend."
neutral,any kimbeommie updates?
neutral,Simple my a#@
excited,weird. I tot it will usually rain east coast first. And east coast usually gets more rain.
happy,I am having the TIME of my LIFE
happy,HAHA ...Your Hotter Than Justin Timberlake
love,Happy Mothersday
happy,thanks
sad,is feeling good.. kinda tired.. miss him... can't wait for grad this weekend!!
love,Haha you're welcome! I was honestly going crazy too. Have a great night as well
love,I just received a mothers day card from my lovely daughter wishing my a happy mothers day http://tr.im/kWK9
neutral,Morning Amy xxxxxxx
excited,"hey Kev - keep with it. It seems crap at first but will def be worthwhile! Add LOADS of people, much more interesting"
neutral,that's SO YOU!
worry,is off to Body Power Expo! Thanks to Mike at Performance Network for the free tix!
love,LMAO. Joey is mine I cant wait to meet them in july!
happy,"just rocked home from maccas, and now signing a petition for big bang to tour aus LOL"
worry,"Whether that's good or bad, I can't disagree with you there."
neutral,you need to follow me so I could send you a direct message.
happy,Oh that just made my evening. I forgot Merlin was on tonight! But its a toss up between Rove and Spielburg on Spielburg on ABC2 choices.
love,Star Trek was so good Im seeing it a third time...corse I do work at the movie theator
love,"I love you, baby"
happy,yay Happy Mothers Day to me Screw burnt breakfast in bed I'll take some E. (erniehalter live &gt; http://ustre.am/2VkO)
neutral,BOYSTOWN. I`ll leave for Eastwood in 3hours.
relief,...WITH PENNEY! thank you for letting me in at 11 at night
love,I LOVE music!!! I like almost everything!!
love,it was an awesome talk find it very true that i am watching the ruby community closely
love,thnx sweetie how r u this evening? xo
happy,congratulations were you being mindful through the run as well or / and listening to music?
love,thanks....
love,"I've always been pretty athletic, I especially love b-ball. Anyway, yeah I can run"
love,Ciara was great at SNL..Kim...you were mentioned on SNL tonight..Justin T was really good also
worry,just did my bit to stimulate the economy
excited,assumes it wasnt so taboo to start an email with &quot;LOL&quot; considering that the reply it got started with &quot;ROFL. PWN3D.&quot; I love the internet!
worry,its like 2 in the morning..sometimes I just don't know exactly what is best to do..but I will def. figure it out! ...HAPPY MOMS DAY!
happy,"Had a great time with mpix shootout, just great thanks mpix..."
happy,"first day on new job,, bought a new clothes already and it was 40% off for employee discount!"
neutral,i like them all i just saw the movie 4.8 i would give it a 5 if Tyler Perry wasn't in it
worry,yay i'll do you a heart mk shout in a sec pam
excited,looks like you need a local marketing person. I'm booked for 2 gigs in Vegas that day
love,thanks you've been quiet lately!
happy,http://twitpic.com/4wiqv - Awwww she looks like one of my kitty little furry balls are the best!
relief,"Finally home, watching saturday night live, then dreaming about my amanda boo"
happy,http://twitpic.com/4wlpv - whooooooooooooa!!!!!!!!!!!! ang ganda ko dito ha!!! thank you!
love,is happy mothers day!
relief,"still playing wii fit LOL fun fun fun,, movies tonight ill upload photos i took today right now check next tweet"
worry,@ ginniejean there's a lot of mojo all over the place... yes.
excited,"Just finishing shooting, can u believe it, but got the job done"
love,I am semi in love with you. Just so ya know
worry,I have to pee.
worry,"Hope everyone is okay, especially Americans who are affected by the fire or the Swine flu(h1n1) . OKay, I should pray for them"
happy,"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara"
worry,Actually people were more decisive than that.
relief,love your voice sing Whisper! (erniehalter live &gt; http://ustre.am/2VkO)
happy,Missing my mother... t-11 days! HAPPY MOTHER'S DAY!!
neutral,Movie and popcorn time
worry,I was feeling guilty about buying a luxurious pair of shoes yesterday until my house mate just saw them and got over excited
neutral,arre main toh bakwaas kar raha tha. Sunday morning bakwaas
excited,Hey cool: http://oproer.com/twwwitter/
neutral,Almost dere really tired eyes r really dry
worry,is clamped out...haha
worry,...I wonder if the Dog is thinking the same thing.... #fml
excited,Just got off the phone with lainey the love of my life . . . Now im taken a crap
happy,had a great night with some old friends...we're still &quot;home-town heroes&quot;....some things never change
neutral,had a great night
neutral,I'll take a look tomorrow - definitely want to graph as many tweets as possible!
neutral,Trying to get out to enjoy the weather &amp; train a little... Some minor beer tasting activity took place yesterday with etc
neutral,home bound for mothers day
love,"I just started watching 30 Rock too, borrowed seasons 1 and 2 from my dad so good."
neutral,Do you ever sleep?
excited,IS PHONE FUCKING WITH TYSON
happy,N now the end to another wise great nite! Excuse me while I dream a little dream
neutral,"yes I can talk friench and in my picture this is me in france !! Now , i'm in london and soon i'm going to L.A"
neutral,Going to see Star Trek
neutral,Wowza o____O you went the whole hog then
happy,I love how when I leave my laptop on my bed it creates a nice toasty spot
love,I love my mommy.
excited,thanks there's a men's version in June. It's very popular.
love,"haha im jewish, i love that one"
worry,"Hi!good luck for the mtvawards, Im sure you're going to win!I hope so!I Love your work! ha you speak spanish? take care"
worry,I chopped a fringe in last night got tired of having it hang in my eyes. Made a mess
love,Love your website! Wish I lived closer to sample the cupcakey treats
sad,wud like to. But I actually have a free weekend this time and family is visiting. so I'm staying put. next time
love,"yep infact she is popular, miss india 99, talented film actress .... and lot more"
love,Happy Mother's Day to both of yall. from me and my boys...
neutral,We in bed now.
excited,Had fun early night Vegas because Pool tomorrow
neutral,"what's up? Not much, just listening to music I'm in TX"
love,HAPPY MOTHERS DAY.!
love,I love crowded cars and Ayanna!
love,"Honey I don't think you're kidding for a MOMENT, I feel that your dedication to the gorgeous smirky men is STRONG indeed!"
neutral,Have a good flight!
sad,ay beezy! finally lol its time to hookah so get off twiiter...love ya
love,Good morning David! Happy Mother's Day to your mom lol. Too bad u can't be with her. She is so awesome!
sad,Only just past 8am and already been spoiled rotton
excited,hello twittttty world! how do you do?
love,Sweet i'm 5'3 so perfect for me
neutral,"oh, I'm skeptical too. I just think it's the best thing he could have said under the circumstances"
love,Good morning guys! Dont forget: Today is mothers day! Mommy? I LOVE YOU ! Youï¿½re the best &lt;3
happy,"Had a blast, babe. Thanks joe. &lt;3 i love everyone! Tyler...happy birthday."
sad,Haha yes and that is BS! all men lie. show me one who doesn't and I'll marry him
happy,cynthia and jenny are spamming my twitter! haha
happy,All breaking news will be tweeted here I hope welcome to twitter!
excited,ouch i have a headache. but i am in a ridiculously good mood
relief,Kandice and I just found 'Baby Sailor Blue' at Casey Moores http://yfrog.com/0ltrdaj
neutral,Stress test: http://www.selfhelpmagazine.com/psychtoons/glasbergen/StressManagement/StressTest.gif Good luck!
worry,"i changed my picture i am soo screwed, i have an assignment due tomorrow that i havent started, i just cant concentrate argh"
love,helll yeah i found a melon bar in the freezer ....mmm best cure for my hangover
happy,"Nope, not &quot;done&quot; yet"
excited,"Shite night, tomorow, I get to hang out with my little brother and neice, should be sufficient enough to change my mood"
neutral,"Standin in a forest, just got the maddest photos taken"
love,Toris was SO fun! JB MOVIE WAS ABSOLUTELY AMAZING! and i had a good day at work! YAY i loved the movie! :0
happy,thanks I'm holding my mini laser light thingy lol. How are u?
neutral,finally got to see you
happy,"#warmfuzzies to you, my friend"
happy,"boopboopboop. still talking to ashley &amp; brittany. i've been talking to ashley for forever, and our convo still goes places. we're awesome"
happy,"ur welcome, sweet dreams!"
happy,LOL too funny!!! I love my Angels hehe
worry,thanks colin hearing that bad knee Imor not il crawl over the finish line your a wee star
neutral,kirk is hotter than spock
happy,"lol that just totally made me laugh, which made my day"
happy,thats so cool
relief,success!
worry,"Morning, up early to travel to today's game but reli happy my bro is coming to watch me x"
love,"Aww Stanley, have you still got him, they can live for like 20 years right? x"
happy,i love cobra starship!! thanks for the suggestion!
love,Pretty sure my kitties missed me...one is laying on me and the other 2 are on each side of me. They are so cute though.
love,you really chose the wrong time of year to do this didnt you
neutral,CloneCloud: actually it's distant processor provisioning like the idea http://bit.ly/b9v90
happy,"thank you, god bless im going to eaat my in in out"
excited,"Youtube. ) Really awesome quality, actually."
neutral,Having first beer in over 8 days what has happened to me and Im only having it cause Miss 8 wanted to get me one for mothers day.
neutral,Jennnnnn richhhh wast to the ed
love,This is dedicated to all those moms out there - Happy Mother's Day ? http://blip.fm/~5z2g9
neutral,Watching the kids eating an ice cream.
neutral,thnks for followin
relief,I totally and completely agree
happy,just watched what happens in vegas it was really good
love,thank you for the re-tweet
happy,Ready to crash!...had a great day and a FUN night! I couldn't ask for anything more Night!
love,omg! shannon Happy Birthday!!!! I'm celebrating for you!
relief,I didn't check Twitter till just now. Thanks everyone for all the Congrats! I really really appreciate it #fb
love,yeah next time
excited,"And they are so censoring over at nin.com, nobody can really speculate about these things are disagree with anything"
relief,the green one! It's limey
excited,Loves when hard work pays off. Yay for being nominated for the National Society of Collegiate Scholars!! Wow!!
happy,very relaxing thank you. Hope you get to put your feet up tomorrow and enjoy the day
excited,"Finally back in bed with my puppies after a LONG week in Jamaica. loved it, but lve to be home too!! Night"
love,love the background! those are my fave pics of them when they're at the beach! thanks for the follow!
neutral,"look, no matter the ethnicity, women are something else! fellas, can I get an amen? *dueces*"
sad,"off to mothers day brunch with the gang. YAY!!!!! It's not the Zoo, but should be just as much fun."
relief,probably something to do with FriendFeed
love,morning David! i hope you're able to contact you're mom for Mother's Day!she seems really sweet i guess you get it from her!
excited,Something strange in the air lately. Been setting everyone on edge. Going to do a good smudging of the house. Good to do those anyway
worry,ha! lemme know what you find (tho I suspect it will be a lot of complaints). Have a peaceful night my friend
neutral,byeeeee
happy,"they can be a drag,,but for the most part they come in HANDY hee hee"
love,is awake earlier than expected but is in a good mood and the sun is out
happy,if i ran the mile to mcdonalds and ran the mile back would that burn off a double sausage and egg mcmuffin lol
neutral,Hello again How'd ur saturday go?
happy,I am blessed beyond measure
sad,You seem Cool
sad,"you're welcome char, glad you liked the cake, it's pretty simple you should give it a try"
happy,watching snl with my ucsd girls and laughing about twitter/blackberry jokes thought i'd tweet that.
neutral,"Aww I know, we used to chat but you became too cool for me ;)"
happy,Also I was conviced to do a happy dance and then told it was the most adorable happy dance ever
neutral,you cooould say that
happy,We got JoJo in for free and free drinks for Mom! My kind of night
love,That would be the one. It's awesome sauce.
love,i love the music video of you belong with me by taylor
love,"Happy Mother's day to allMothers, Cheers!!"
happy,"wow,that must be sooo cool"
excited,So what do you do when you wake up? Morning by the way
worry,posted and its good
sad,"Check and check! And yes, I did (and am)!"
excited,You have DSL? Welcome to 2009!
excited,"Hi tweete, surprised to see everyone still up...maybe it's the full moon"
happy,totes it's gonna be fun as bi-otch. yeah she'll do it... we'll make her!!
excited,Hey! I am back. Been listening to retrorewind. How you do always know everything.
neutral,OK! Oops sorry
love,Ooooh! I thought eggos were some kind of synthetic egg or egg sustitute or something. You crazy Americans
happy,oo ok. When I opened up twitterfon and it said I had a reply I was like lauren Conrad andswere me haha
happy,had an okay day. but hanging out with brianna and saelina was good
happy,"Yeah I've been going there for the last month!! SO amaaaazing, I'll bring some back for you"
happy,"you tell yo mamma an em i axe how she durrin, and that i said happy mothers day."
excited,I want some candy!!!
neutral,"3,144 words later, it's bedtime"
excited,"Sounds a bit Alan Partridge A-ha! (Good morning, by the way)"
happy,"had not heard the title or author before, must look it up Enjoy"
love,Dylan Dont think twice.
excited,"Yeaa I Know She is Smartier Then That, plus She Knows The real Thing Is Better Lol"
neutral,HELLO friend!! Welcome to Twitter!!
happy,is having fun with the traditional family dinner party for Mother's Day...
love,I just received a mothers day card from my lovely daughter wishing my a happy mothers day http://tr.im/kWK9
neutral,try installing Twibble which is a Java based app that should work on most phones
sad,"just got back from..ahem, meal#4...was boring but had to eat nonetheless"
anger,And they are really censoring over at nin.com and I really hesitate to go over there are talk about this
excited,addict to &quot;long time gone&quot;
worry,Calling it a night .... talk to yall tomorrow
happy,Good Morning and Happy Mothers Day everyone
neutral,tell your grandmother i say hello
excited,"i did, haha. i'll run is more suitable, at the moment."
excited,This is the earliest I've been up for ages! Body is crying to go back to sleep... Must resist! A shower should do the trick
love,"haven't twittered in forever. yeah, just had my sixteenth birthday party tonight"
happy,your dad is a superman for pulling through! Take it easy
neutral,"Of course. I'd send it to you, but I don't think it would survive the trip."
neutral,Playdate with Jenny was fun.
excited,that boy over there is something worth admiring
happy,Ra'anana is a wonderful place
love,"ending my evening on the best note. i will love you forever, tweets."
neutral,living in ballarat again
love,"haha, happened to me a lot of times. Know the feeling. Happy mums day to ur mom too delle"
love,Happy Mother's Day to all mothers including my own mom!
happy,Prism is the MY nEW wEBTOP.. mozilla labs rocks my world...
happy,Yeah I'm okay been icing and ace bandage and sitting on my on twitter... LOL Thanks
excited,ack ~ of course i'm a person! but i think knows that
anger,Fuck you
love,umm i like lucas and peyton wbu ?
neutral,Hanging out with Dan from Houston Calls!!
worry,"iya, nyokap gue pernah berkata demikian :-| and it's so hard to share what we have"
neutral,"Watching Almost Famous with Andrew, Michael, and Yolanda"
worry,They're for my mama I always bake late and get worried that the mixer is gonna bother people.
love,"yay, I'm glad THOUGH MAN I WANTED TO SEE IT"
excited,"haha no, I was referring to the band... http://www.myspace.com/lcdsoundsystem"
happy,yo what you think of last night? was good to see ya!
happy,Mango Medley has yummy mango and mango ice cream!
love,"Gotta get up early to spend some time with my mommy before I go to work, so I'm off to bed. Goodnight twitter"
neutral,Good morning! Just went to bed it feels and already morning...goes fast! Now i am going to the gym soon. Have a nice day!
neutral,riley hacked my twitter! hahaha :]
love,well.. i just saw the dead zone for the first time. its a good TV show. is back
love,"God, i lOVE quizzes. when i get my phone im gonna be on it 24/7 doing facebook quizzes."
love,is getting married in Vegas in November by an Elvis impersonator am so happy!!!
excited,don't be sorry you can race for charity or just for fun. I do this one for fun.
happy,"Man, finishing &quot;Operation Anchorage&quot; sure gives you an unfair advantage, loot-wise... I love the stealth field suit and Gauss rifle"
neutral,also happy mother's day
neutral,You can save it for next time!! ? http://blip.fm/~5z2sv
excited,"A mocha at 12:30am? My, youï¿½re brave"
happy,Happy Mother's Day http://bit.ly/iJm54 (my friends made the video)
sad,I am usually more creative on Mother's Day but lately I have not been feeling creative. O.K.. Good Night. uh Morning...
love,off to pearlyn's place - gran's bday + mothers' day dinner tonight! mom went for adults' svc today!!! (L) happy mothers' day moms!
excited,That your blog? - didn't realize I was following the blogger on my RSS feed! Great idea btw
excited,This morning is for smiling smugly to oneself. Anyone can join in
worry,"will terminator be on next week's TRS by chance? and i dont mean tuesday's release, but the next"
happy,awww. sooo adorable! how old were u in that video?
love,"Thanks, that was gonna be my next tweet...You the man Figuratively speaking"
happy,Sha and i are fcp/macbook pro buddies now.
worry,new photo im hungry...getting off the computer now!
excited,"sure! Of course i'll pray for her too. Thank you, jo send my warm regards to ur mom.: http://bit.ly/Beih5"
happy,Hahhahah I'm watching the greatest movie ever
happy,I'm going to see sweeney todd on stage with my best friend for her bday today (I know I'm going to be the one who sings along!!)
worry,LOL. Leave a kid on internet and the kid will do stupid things.
worry,Here dude we got here n a table readyyy fo us
happy,looool .. me 2 !! ana i will vote 7ag ele ye6le3ni taqa3od now
excited,are you in need of another kiss attack??
neutral,Shop smart. Shop S Mart.
neutral,"sleepy time! and, my room is finally clean."
relief,I know!! Yayy
relief,"- Bless you as well sweetie, and i hope you have a wonderful weekend"
love,Happy Mother's Day to all Mums on Twitter
excited,just kick their asses and call it a day.
excited,"Alright, I think it's time for bed...even though I'll probably surf the net for another hour before I go to sleep lol! Goodnight"
happy,So ur moomie liked the Pandora? you can buy me one next lol
love,Happy Mothers Day!!!
excited,HAPPY MOTHER'S DAY !!
excited,Can you please with that? I'd love some egg +bacon +ranch +bed for giving birth 3 times in 4 years!
neutral,Goodnight;
love,Happy Mothers day to all the Mothers in my life
sad,LOL - Birmingham was my 1st love... but it's time to move on! ;) Good Morning
love,"3:31 loved the rain this morning,"
happy,HAPPY MOTHERS DAY!
happy,demi if you can i think itd be amazing if you covered thats what you get by paramore haha im sure you know it
love,wishes that you would see not with your eyes but with your heart. http://plurk.com/p/sv5bb
neutral,I was just at Geno's 3hrs ago. Would have went to Pats but the Neon Lights got me lol. Had drinks at South Philly Bar too
worry,"ha, great description of your jealousy I must say. I will upload a pic 2morrow. the tat actually represents free-thinking"
worry,"Lol, me too!!"
happy,G'night Twitterverse! Thanks for keeping me entertained!!
neutral,happy mother's day
happy,"Morning, dude! Ivy has decided she wants to go on a boat today. Are you guys around this PM? Would be nice to see you."
neutral,lulz at robert
excited,Hence the smiley face. ha ha ha ha. Lol yeah i'm hong to be tired as fuck tomorrow. But guess what i do not care.
neutral,Listening to Lady Gaga... Relatives just left after our Mother's Day celebration
excited,Happy mother's day to all the mom's! Love you mom
excited,awesome..am headin there that nite after my grad dinner c u then boi! hehe
neutral,not yet. I save the pages to read for when I travel
sad,"Morning, I'm shattered. Couldn't sleep last night....got to sleep about 5am then had to be up at 7am! Doh!"
sad,Star Trek movie: riveting. Soundtrack: superb. Overall experience: fantastic. Alyssa jumping at german shepherd: priceless.
relief,"can't believe I just drove all the way back to school...whatever HAPPY MOTHER'S DAY: Mommy, Precious, Candis and Granny"
excited,hahahaha yay!!!! Lakers!!! And I would please like some of that dip!!
neutral,my first mother's day and next one in two weeks
love,Happy mothers day mom.. i love yew...
anger,FUCK EM
neutral,resistance was futile! Needed pretties to knit with
happy,Travel blog up and running! http://charlenedianetravels.blogspot.com Can't wait to start filling it up with entries! )
love,happy mothers day!!
happy,"LOL! I liked the log ride reference, but all I think about when I think of that ride is how wet you get"
worry,it'll probably come out like I'm drunk or something...I'll be so nervous!! LOL...thats why we will be there to help eachother
sad,At social. just saw G-1.. Awwww
neutral,Going to get dinner with the parents
love,"GoodMorning, Hope Everyone Has A Beautiful Day Today x"
neutral,you still pretending to be metal?
love,With My Boy Still He's everything to me
excited,Is pretty hammered drunk! Props to me! Two nights in a row!!!
excited,stood for 4 hours in heels. all for looks and to b able to look over tall people.
happy,A big ginger and white male cat and a little female tortoiseshell. Both indoor cats and rule the house
neutral,kasi naman mahirap na hindi ma-notice ang beauty and kasexyhan mo (bumabawi)
worry,Home now phone with jason and it's off to bed i go good night and good night
worry,cool shot!
neutral,i am letting you read this.......
neutral,yaaw some one want call with me?? 5529634599
neutral,they certainly warmed mine
worry,yes! it definitely paid off ... thanks 4 the advice
neutral,Will cook a sumptuous lunch today
happy,"I know, me too!!"
happy,is going to help lancey cook
anger,Take that back. I am insulted.
relief,Gotta love skype! Make sure you get their new update!
happy,"ah, ok thank youuuuuu!"
neutral,I'm realizing I'm horribly awkward.
happy,"Haha! What's it like looking back on work? Or fun, as I'm sure it was"
sad,I was thinking of changing it but it is a hassle for everyone who follows us so I get to be Jason
love,I am in total love with my Lip ring...more than all 12 of my piercings...it is my ut-most favorite
neutral,According to Marco smoking weed makes you philosophical.... I consider myself philosophical. In the shower.
anger,"heh, you seem to have a complex about your iPhone jealousy. This self-denial is harmful! Just let it out."
happy,Well I am going to get off now so I'll talk to you later. Goodnight and good dreams
worry,"dudes, c'mon - that's almost the ghey!"
sad,you are so freaking awesome Solange. Happy mother's day. i wish i had a mom like you...sad. blah. but best wishes!
love,@ Ember with Dante... I have so much fun with him can I smile any harder...
love,I never 4get bout u .. Your my boyfriend #2... whom I lovesssss down .. Let's chill this week
happy,LOL yea I know! I'm almost done with my semester this week yay!!
happy,"niqhty niqht niqht .. all toqether, GREAT day ;; ily yall !!"
worry,Exhausted but happy supercool gig at Love amazing crowd amazing club so happy to be there! Now off to sleep for a few hours
excited,"better get to sleep, dodger game/mothers day 2maro ewl i have to wake up at 8!"
excited,Morning People! Just woke up now!
happy,Had a great night! Tomorrow is mothers day
love,Happy Mothers Day. Take ur mothers into a special place.
happy,"The sun is shining brightly and the day has just begun! What's in store? Wandering around les calanques maybe? Vin, definitely!"
happy,Justin Timberlake and Leonard Nimoy? And a Dick in The Box sequel? priceless
excited,Thank you OpenDNS for saving me from Comcast's crappy DNS server. My internet is back up to par finally.
sad,"i hope so, recorded the pit/was game to find out it didnt record... lucky it wasn't the leafs, i woulda lost it by now"
excited,haha Good job getting close. Her eyes are set somewhere else though
excited,Wrestlefest was fun! Now tune into www.latalkradio.com from 2-3 sunday and chat with me
sad,"aww thats wikid, i need to book myne again sooon miss you to lovely!! im off ned some brekkie.. speak soon dudde xxx"
worry,kels i think i figured this out.. and yer my only real friend on here so im pretty much just stalking you
love,"Steak and shake with ramon, matt, and chris."
sad,The rest of the week is less than 2.5 hours long
happy,"My 100th post- dedicated to Sarah,sunny weather,and my love for that Snakes On A Plane (Bring It) song that should have died already."
neutral,"I'm still on the bandwagon. Figured I've been on this ride so far, might as well see what happens."
neutral,in the process of learning how to drive stick shift. its getting easier thanks to 
sad,"just got home! LET US ALL BE CONNECTED WITH GOD, CONSTANTLY!"
love,"Oh, and yippee for Lyn-Z Way who gets to celebrate Mother's Day for the first time as a mother."
neutral,Good night everyone
love,Best day at park for Mother's day -- love my Mum to bits!! Massive weekend tho -- wee bit weary but super content!
love,"Yes, I love tea. If that makes me typically English then so be it"
love,you're absolutely welcome. i love you too and am happy i was able to help make that moment happen.
love,Hi You are such a babe. Want to hang? I love you ! xD
worry,Sleep is not coming easy. Sleeping pills. Need them. Maybe this is why my mind is soo wild lately. No sleep=craziness. Proven fact!
neutral,"Hey bud, we just shot you an email"
excited,Back after a tea and a blog post. A few more awake I see - good morning
worry,hairspray on tv!
worry,[ I'm not sure what you mean by &quot;blowin this joint&quot;?? &quot;] rblol lol good one...... ? http://blip.fm/~5z2zo
neutral,uploading some pictures
neutral,I'm trying to decide if I want to go camping for Memorial Day...any help from my twitter friends?
neutral,Twitter! It's been a while
neutral,In this exact moment i have decided that in some point in my life.. i am going to adopt a child
love,lol he does love spahkly gold things....
